t uw pulse,N Na,N Na_err,N K,N K_err,N_K+N_Na*3,N_K+N_Na*3_err
0.0,0.12429063831846117,0.0,11442.636091758373,0.0,11443.008963673328,0.0
2.0,973.64194391251897,0.0,9437.2072658850648,0.0,12358.133097622622,0.0
4.0,2714.0686542171229,0.0,4214.7623856081827,0.0,12356.968348259552,0.0
6.0,3515.9839627231877,0.0,661.86418166488761,0.0,11209.816069834449,0.0
8.0,3526.7659520591628,0.0,520.43725769008313,0.0,11100.735113867571,0.0
10.0,2914.8808712692771,0.0,4509.6094737001767,0.0,13254.252087508008,0.0
12.0,1078.4520719633565,0.0,9183.0973260625778,0.0,12418.453541952647,0.0
14.0,59.579046627759581,0.0,11085.670110385159,0.0,11264.407250268438,0.0
16.0,1166.7254869436567,0.0,9109.9810359760577,0.0,12610.157496807027,0.0
18.0,2801.6300345733198,0.0,4130.0760612023987,0.0,12534.966164922358,0.0
20.0,3497.4978718675143,0.0,33.470600926158248,0.0,10525.964216528702,0.0
22.0,3497.9376585829623,0.0,745.77227664054635,0.0,11239.585252389432,0.0
